maxInf; numberOfFirstColumns; columnsPerIteration; infCut; time; loadTime; populateTime; firstColumnsTime; iteration; solvingTime; solutionValue; averageInversedWeights; minInversedWeight; maxInversedWeight; averageTreeSize; minTreeSize; maxTreeSize; percentage; numberOfPeople;
15; 500; 2; 4e-005; 747125; 69316; 13178; 436092; 1; 48047; 2138.12; 86.1371; 67.5409; 130.727; 266284; 99999; 331533; 66.133; 654909; 
15; 100; 2; 0.001; 282616; 74967; 13809; 84947; 1; 3321; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 302033; 74967; 13809; 84947; 2; 10012; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 345649; 74967; 13809; 84947; 3; 8796; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 378549; 74967; 13809; 84947; 4; 8709; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 420612; 74967; 13809; 84947; 5; 8829; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 437031; 74967; 13809; 84947; 6; 8891; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 478543; 74967; 13809; 84947; 7; 9257; 2069.2; 86.1371; 67.5409; 130.727; 56037; 19883; 81092; 16.2103; 160529; 
15; 100; 2; 0.001; 311794; 78704; 13550; 88920; 1; 3337; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 333804; 78704; 13550; 88920; 2; 11568; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 378033; 78704; 13550; 88920; 3; 9081; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 415544; 78704; 13550; 88920; 4; 9874; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 460209; 78704; 13550; 88920; 5; 10348; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 476413; 78704; 13550; 88920; 6; 8696; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 517211; 78704; 13550; 88920; 7; 8962; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
15; 100; 2; 0.001; 746087; 78704; 13550; 88920; 8; 9648; 2065.32; 86.1063; 67.5409; 130.727; 57751; 45588; 81092; 16.283; 161249; 
